order_id,product_name,quantity,price_eur,channel,order_date,status,manager,city,country,delivery_service,delivery_date
SC1-00040,Waldorf Rainbow Stacker,1,48.5,Website,2023-11-02 05:00:00,Completed,Manager_B,Feldkirch,Austria,DPD Austria,2023-11-07
SC1-00041,Felt Animal Sewing Kit,1,17.0,Website,2023-11-02 23:00:00,Completed,Manager_A,Sankt Pölten,Austria,Österreichische Post,2023-11-05
SC1-00042,Felt Animal Sewing Kit,3,64.5,Website,2023-11-04 23:00:00,Completed,Manager_B,Sankt Pölten,Austria,DPD Austria,2023-11-10
SC1-00043,Waldorf Rainbow Stacker,1,48.0,Website,2023-11-05 18:00:00,Completed,Manager_A,Dornbirn,Austria,Österreichische Post,2023-11-09
SC1-00044,Wooden Block Set 40pcs,1,29.5,Website,2023-11-06 01:00:00,Completed,Manager_A,Vienna,Austria,DPD Austria,2023-11-12
SC1-00045,Magnetic Drawing Board,1,20.5,Website,2023-11-06 12:00:00,Completed,Manager_B,Salzburg,Austria,Österreichische Post,2023-11-10
SC1-00046,Sensory Ball Set,3,58.5,Instagram,2023-11-07 02:00:00,Completed,Manager_A,Graz,Austria,DPD Austria,2023-11-09
SC1-00047,Magnetic Drawing Board,1,22.0,Website,2023-11-07 07:00:00,Awaiting Review,Manager_B,Feldkirch,Austria,Österreichische Post,
SC1-00048,Montessori Puzzle 6-shape,1,22.5,Website,2023-11-08 08:00:00,Completed,Manager_B,Dornbirn,Austria,DPD Austria,2023-11-10
SC1-00049,Montessori Puzzle 6-shape,2,44.0,Website,2023-11-09 04:00:00,New,Manager_B,Linz,Austria,Österreichische Post,
SC1-00050,Sensory Ball Set,1,14.0,Website,2023-11-09 06:00:00,Completed,Manager_B,Feldkirch,Austria,DPD Austria,2023-11-11
SC1-00051,Balance Bike 12-inch,2,246.0,Website,2023-11-09 11:00:00,New,Manager_B,Sankt Pölten,Austria,DPD Austria,
SC1-00052,Balance Bike 12-inch,1,97.0,Instagram,2023-11-09 23:00:00,New,Manager_B,Graz,Austria,DPD Austria,
SC1-00053,Felt Animal Sewing Kit,2,36.0,Instagram,2023-11-10 05:00:00,Completed,Manager_B,Klagenfurt,Austria,DPD Austria,2023-11-15
SC1-00054,Felt Animal Sewing Kit,1,23.5,Website,2023-11-11 03:00:00,Completed,Manager_B,Sankt Pölten,Austria,Österreichische Post,2023-11-13
SC1-00055,Waldorf Rainbow Stacker,3,133.5,Instagram,2023-11-11 05:00:00,New,Manager_A,Vienna,Austria,Österreichische Post,
SC1-00056,Wooden Kitchen Playset,1,57.0,Website,2023-11-11 10:00:00,Completed,Manager_A,Klagenfurt,Austria,Österreichische Post,2023-11-16
SC1-00057,Felt Animal Sewing Kit,1,19.5,Website,2023-11-12 04:00:00,Awaiting Review,Manager_A,Klagenfurt,Austria,DPD Austria,
SC1-00058,Montessori Puzzle 6-shape,3,61.5,Website,2023-11-12 05:00:00,Completed,Manager_A,Graz,Austria,DPD Austria,2023-11-17
SC1-00059,Beeswax Modelling Kit,1,14.0,Website,2023-11-12 14:00:00,Completed,Manager_A,Feldkirch,Austria,DPD Austria,2023-11-14
SC1-00060,Wooden Kitchen Playset,1,76.0,Instagram,2023-11-13 01:00:00,Completed,Manager_A,Linz,Austria,Österreichische Post,2023-11-17
SC1-00061,Montessori Puzzle 6-shape,1,25.0,Website,2023-11-13 11:00:00,Completed,Manager_A,Klagenfurt,Austria,Österreichische Post,2023-11-16
SC1-00062,Sensory Ball Set,1,16.5,Instagram,2023-11-13 13:00:00,New,Manager_B,Salzburg,Austria,DPD Austria,
SC1-00063,Balance Bike 12-inch,3,369.0,Website,2023-11-13 17:00:00,Completed,Manager_B,Wels,Austria,Österreichische Post,2023-11-18
SC1-00064,Felt Animal Sewing Kit,1,19.0,Website,2023-11-14 10:00:00,Completed,Manager_B,Wels,Austria,Österreichische Post,2023-11-18
SC1-00065,Montessori Puzzle 6-shape,1,23.5,Website,2023-11-15 01:00:00,Completed,Manager_B,Dornbirn,Austria,DPD Austria,2023-11-17
SC1-00066,Silicone Building Blocks,1,32.0,Instagram,2023-11-15 06:00:00,Completed,Manager_A,Salzburg,Austria,DPD Austria,2023-11-16
SC1-00067,Felt Animal Sewing Kit,1,15.5,Website,2023-11-15 09:00:00,Completed,Manager_A,Feldkirch,Austria,DPD Austria,2023-11-17
SC1-00068,Balance Bike 12-inch,2,191.0,Website,2023-11-15 16:00:00,Completed,Manager_A,Innsbruck,Austria,DPD Austria,2023-11-19
SC1-00069,Montessori Puzzle 6-shape,1,23.5,Website,2023-11-16 15:00:00,Completed,Manager_B,Vienna,Austria,DPD Austria,2023-11-18
SC1-00070,Finger Paint Set,1,14.0,Instagram,2023-11-16 20:00:00,Completed,Manager_A,Vienna,Austria,DPD Austria,2023-11-18
SC1-00071,Sensory Ball Set,1,19.0,Instagram,2023-11-16 21:00:00,Completed,Manager_A,Wels,Austria,Österreichische Post,2023-11-18
SC1-00072,Wooden Kitchen Playset,1,72.0,Website,2023-11-16 23:00:00,Completed,Manager_B,Graz,Austria,DPD Austria,2023-11-22
SC1-00073,Montessori Puzzle 6-shape,1,22.0,Website,2023-11-17 11:00:00,Completed,Manager_B,Linz,Austria,DPD Austria,2023-11-19
SC1-00074,Wooden Block Set 40pcs,1,37.5,Website,2023-11-18 00:00:00,Completed,Manager_A,Salzburg,Austria,Österreichische Post,2023-11-21
SC1-00075,Montessori Puzzle 6-shape,1,20.5,Website,2023-11-20 19:00:00,Completed,Manager_B,Graz,Austria,DPD Austria,2023-11-23
SC1-00076,Balance Bike 12-inch,1,118.5,Instagram,2023-11-20 23:00:00,Completed,Manager_B,Salzburg,Austria,DPD Austria,2023-11-23
SC1-00077,Silicone Building Blocks,1,26.0,Website,2023-11-21 01:00:00,Completed,Manager_B,Salzburg,Austria,DPD Austria,2023-11-25
SC1-00078,Wooden Block Set 40pcs,1,35.0,Website,2023-11-21 15:00:00,Completed,Manager_B,Graz,Austria,DPD Austria,2023-11-27
SC1-00079,Beeswax Modelling Kit,1,17.5,Website,2023-11-22 03:00:00,Cancelled,Manager_A,Feldkirch,Austria,Österreichische Post,
SC1-00080,Wooden Kitchen Playset,1,66.0,Website,2023-11-22 12:00:00,Completed,Manager_A,Wels,Austria,Österreichische Post,2023-11-27
SC1-00081,Montessori Puzzle 6-shape,1,20.0,Website,2023-11-22 16:00:00,Completed,Manager_A,Feldkirch,Austria,DPD Austria,2023-11-28
SC1-00082,Sensory Ball Set,1,18.5,Website,2023-11-23 17:00:00,Completed,Manager_A,Salzburg,Austria,Österreichische Post,2023-11-26
SC1-00083,Wooden Block Set 40pcs,2,67.0,Instagram,2023-11-24 09:00:00,Completed,Manager_A,Graz,Austria,Österreichische Post,2023-11-25
SC1-00084,Felt Animal Sewing Kit,1,20.5,Website,2023-11-25 10:00:00,Completed,Manager_A,Salzburg,Austria,DPD Austria,2023-11-30
SC1-00085,Silicone Building Blocks,3,91.5,Website,2023-11-25 21:00:00,Completed,Manager_B,Linz,Austria,Österreichische Post,2023-11-28
SC1-00086,Silicone Building Blocks,1,28.0,Website,2023-11-26 16:00:00,Completed,Manager_B,Linz,Austria,DPD Austria,2023-11-30
SC1-00087,Waldorf Rainbow Stacker,1,38.5,Website,2023-11-27 01:00:00,Completed,Manager_B,Innsbruck,Austria,Österreichische Post,2023-12-02
SC1-00088,Wooden Kitchen Playset,1,64.0,Website,2023-11-27 17:00:00,Completed,Manager_A,Graz,Austria,DPD Austria,2023-12-03
SC1-00089,Wooden Block Set 40pcs,1,32.5,Website,2023-11-28 00:00:00,Completed,Manager_A,Klagenfurt,Austria,DPD Austria,2023-12-04
SC1-00090,Wooden Block Set 40pcs,1,30.5,Website,2023-11-29 08:00:00,Completed,Manager_B,Innsbruck,Austria,DPD Austria,2023-12-01
SC1-00091,Felt Animal Sewing Kit,1,22.5,Website,2023-12-01 13:00:00,Completed,Manager_B,Linz,Austria,DPD Austria,2023-12-06
SC1-00092,Magnetic Drawing Board,1,22.0,Instagram,2023-12-02 05:00:00,Completed,Manager_A,Klagenfurt,Austria,DPD Austria,2023-12-08
SC1-00093,Balance Bike 12-inch,1,105.0,Website,2023-12-02 18:00:00,Completed,Manager_A,Graz,Austria,DPD Austria,2023-12-07
SC1-00094,Felt Animal Sewing Kit,1,23.0,Website,2023-12-03 04:00:00,Completed,Manager_B,Linz,Austria,DPD Austria,2023-12-08
SC1-00095,Finger Paint Set,1,15.0,Instagram,2023-12-03 09:00:00,Completed,Manager_A,Dornbirn,Austria,DPD Austria,2023-12-07
SC1-00096,Magnetic Drawing Board,3,78.0,Website,2023-12-03 16:00:00,Completed,Manager_A,Graz,Austria,Österreichische Post,2023-12-05
SC1-00097,Montessori Puzzle 6-shape,1,25.0,Website,2023-12-05 12:00:00,Awaiting Review,Manager_B,Klagenfurt,Austria,Österreichische Post,
SC1-00098,Wooden Block Set 40pcs,3,100.5,Instagram,2023-12-05 13:00:00,Completed,Manager_A,Sankt Pölten,Austria,Österreichische Post,2023-12-11
SC1-00099,Wooden Train Track Set,2,114.0,Website,2023-12-05 22:00:00,Completed,Manager_B,Linz,Austria,DPD Austria,2023-12-09
SC1-00100,Waldorf Rainbow Stacker,1,46.5,Website,2023-12-06 02:00:00,Completed,Manager_B,Dornbirn,Austria,Österreichische Post,2023-12-10
SC1-00101,Beeswax Modelling Kit,1,13.0,Website,2023-12-06 11:00:00,Completed,Manager_B,Sankt Pölten,Austria,DPD Austria,2023-12-11
SC1-00102,Wooden Block Set 40pcs,1,33.0,Instagram,2023-12-06 16:00:00,Completed,Manager_A,Vienna,Austria,DPD Austria,2023-12-11
SC1-00103,Magnetic Drawing Board,1,21.0,Website,2023-12-07 05:00:00,Completed,Manager_B,Salzburg,Austria,DPD Austria,2023-12-08
SC1-00104,Balance Bike 12-inch,1,119.0,Website,2023-12-07 13:00:00,Completed,Manager_A,Graz,Austria,Österreichische Post,2023-12-08
SC1-00105,Wooden Block Set 40pcs,2,72.0,Website,2023-12-08 00:00:00,Completed,Manager_B,Wels,Austria,DPD Austria,2023-12-13
SC1-00106,Wooden Train Track Set,1,70.0,Website,2023-12-08 05:00:00,New,Manager_A,Linz,Austria,DPD Austria,
SC1-00107,Silicone Building Blocks,1,27.0,Website,2023-12-10 13:00:00,Completed,Manager_A,Vienna,Austria,Österreichische Post,2023-12-13
SC1-00108,Magnetic Drawing Board,1,24.5,Website,2023-12-11 00:00:00,Cancelled,Manager_A,Linz,Austria,Österreichische Post,
SC1-00109,Wooden Kitchen Playset,1,61.0,Website,2023-12-11 08:00:00,New,Manager_A,Graz,Austria,DPD Austria,
SC1-00110,Wooden Kitchen Playset,1,64.0,Website,2023-12-11 20:00:00,Completed,Manager_B,Linz,Austria,Österreichische Post,2023-12-12
SC1-00111,Balance Bike 12-inch,1,134.0,Website,2023-12-12 08:00:00,New,Manager_B,Dornbirn,Austria,Österreichische Post,
SC1-00112,Wooden Kitchen Playset,1,66.0,Website,2023-12-12 12:00:00,Completed,Manager_B,Linz,Austria,DPD Austria,2023-12-17
SC1-00113,Beeswax Modelling Kit,1,14.5,Instagram,2023-12-14 15:00:00,Completed,Manager_B,Salzburg,Austria,Österreichische Post,2023-12-19
SC1-00114,Magnetic Drawing Board,3,66.0,Website,2023-12-15 15:00:00,Completed,Manager_B,Klagenfurt,Austria,Österreichische Post,2023-12-16
SC1-00115,Wooden Kitchen Playset,1,60.0,Website,2023-12-15 20:00:00,Completed,Manager_A,Salzburg,Austria,DPD Austria,2023-12-19
SC1-00116,Felt Animal Sewing Kit,1,19.0,Instagram,2023-12-17 08:00:00,Completed,Manager_B,Linz,Austria,Österreichische Post,2023-12-20
SC1-00117,Finger Paint Set,1,11.5,Website,2023-12-18 08:00:00,New,Manager_B,Klagenfurt,Austria,Österreichische Post,
SC1-00118,Beeswax Modelling Kit,1,14.0,Instagram,2023-12-18 10:00:00,Completed,Manager_A,Innsbruck,Austria,DPD Austria,2023-12-21
SC1-00119,Silicone Building Blocks,1,30.5,Website,2023-12-18 17:00:00,Completed,Manager_A,Salzburg,Austria,Österreichische Post,2023-12-19
SC1-00120,Wooden Block Set 40pcs,1,25.0,Website,2023-12-19 12:00:00,Completed,Manager_B,Dornbirn,Austria,DPD Austria,2023-12-23
SC1-00121,Felt Animal Sewing Kit,3,61.5,Website,2023-12-19 13:00:00,Completed,Manager_B,Dornbirn,Austria,DPD Austria,2023-12-23
SC1-00122,Balance Bike 12-inch,1,131.0,Website,2023-12-19 17:00:00,Completed,Manager_B,Graz,Austria,Österreichische Post,2023-12-22
SC1-00123,Montessori Puzzle 6-shape,1,23.0,Instagram,2023-12-20 16:00:00,Completed,Manager_A,Sankt Pölten,Austria,Österreichische Post,2023-12-21
SC1-00124,Magnetic Drawing Board,1,25.5,Website,2023-12-20 19:00:00,Awaiting Review,Manager_A,Salzburg,Austria,DPD Austria,
SC1-00125,Silicone Building Blocks,1,31.5,Website,2023-12-21 05:00:00,Completed,Manager_A,Dornbirn,Austria,Österreichische Post,2023-12-23
SC1-00126,Balance Bike 12-inch,1,130.0,Website,2023-12-21 12:00:00,Completed,Manager_A,Sankt Pölten,Austria,Österreichische Post,2023-12-24
SC1-00127,Magnetic Drawing Board,1,22.5,Website,2023-12-21 17:00:00,Completed,Manager_A,Wels,Austria,DPD Austria,2023-12-25
SC1-00128,Wooden Train Track Set,1,57.0,Website,2023-12-21 20:00:00,Completed,Manager_A,Linz,Austria,DPD Austria,2023-12-24
SC1-00129,Felt Animal Sewing Kit,1,15.5,Instagram,2023-12-22 05:00:00,Completed,Manager_B,Graz,Austria,DPD Austria,2023-12-28
SC1-00130,Waldorf Rainbow Stacker,1,49.5,Website,2023-12-22 10:00:00,Completed,Manager_A,Innsbruck,Austria,DPD Austria,2023-12-23
SC1-00131,Silicone Building Blocks,1,33.5,Website,2023-12-22 18:00:00,Completed,Manager_A,Salzburg,Austria,Österreichische Post,2023-12-26
SC1-00132,Magnetic Drawing Board,1,18.0,Website,2023-12-23 06:00:00,Completed,Manager_B,Vienna,Austria,DPD Austria,2023-12-26
SC1-00133,Silicone Building Blocks,1,33.0,Instagram,2023-12-23 12:00:00,New,Manager_B,Vienna,Austria,Österreichische Post,
SC1-00134,Waldorf Rainbow Stacker,3,118.5,Website,2023-12-24 00:00:00,Completed,Manager_B,Salzburg,Austria,DPD Austria,2023-12-28
SC1-00135,Wooden Train Track Set,1,51.0,Website,2023-12-25 04:00:00,Completed,Manager_B,Innsbruck,Austria,DPD Austria,2023-12-27
SC1-00136,Wooden Kitchen Playset,1,69.0,Instagram,2023-12-25 06:00:00,Completed,Manager_A,Innsbruck,Austria,DPD Austria,2023-12-29
SC1-00137,Waldorf Rainbow Stacker,1,47.5,Website,2023-12-27 09:00:00,Completed,Manager_A,Salzburg,Austria,DPD Austria,2024-01-01
SC1-00138,Magnetic Drawing Board,1,26.0,Website,2023-12-28 01:00:00,Completed,Manager_A,Innsbruck,Austria,DPD Austria,2023-12-29
SC1-00139,Felt Animal Sewing Kit,1,18.0,Instagram,2023-12-28 21:00:00,Completed,Manager_B,Sankt Pölten,Austria,Österreichische Post,2024-01-03
SC1-00140,Wooden Block Set 40pcs,2,69.0,Website,2023-12-29 20:00:00,Completed,Manager_B,Feldkirch,Austria,DPD Austria,2023-12-30
SC1-00141,Wooden Block Set 40pcs,1,25.5,Website,2023-12-30 07:00:00,Completed,Manager_A,Sankt Pölten,Austria,DPD Austria,2024-01-02
SC1-00142,Wooden Kitchen Playset,1,83.5,Instagram,2023-12-30 12:00:00,Completed,Manager_B,Salzburg,Austria,DPD Austria,2023-12-31
SC1-00143,Silicone Building Blocks,1,33.0,Website,2023-12-31 00:00:00,Completed,Manager_A,Salzburg,Austria,DPD Austria,2024-01-03
SC1-00144,Finger Paint Set,1,12.0,Website,2023-12-31 19:00:00,Completed,Manager_A,Wels,Austria,Österreichische Post,2024-01-06
SC1-00145,Waldorf Rainbow Stacker,1,42.0,Instagram,2024-01-03 04:00:00,Completed,Manager_B,Dornbirn,Austria,DPD Austria,2024-01-04
SC1-00146,Finger Paint Set,3,43.5,Website,2024-01-04 19:00:00,Completed,Manager_A,Feldkirch,Austria,Österreichische Post,2024-01-10
SC1-00147,Balance Bike 12-inch,1,106.0,Website,2024-01-05 09:00:00,New,Manager_B,Klagenfurt,Austria,DPD Austria,
SC1-00148,Wooden Kitchen Playset,1,58.0,Instagram,2024-01-06 00:00:00,Completed,Manager_B,Sankt Pölten,Austria,Österreichische Post,2024-01-08
SC1-00149,Waldorf Rainbow Stacker,1,37.5,Website,2024-01-06 20:00:00,Completed,Manager_A,Dornbirn,Austria,DPD Austria,2024-01-10
SC1-00150,Beeswax Modelling Kit,1,17.0,Website,2024-01-09 08:00:00,Completed,Manager_B,Linz,Austria,Österreichische Post,2024-01-12
SC1-00151,Wooden Train Track Set,2,123.0,Website,2024-01-18 01:00:00,Completed,Manager_A,Wels,Austria,DPD Austria,2024-01-21
SC1-00152,Beeswax Modelling Kit,1,13.5,Website,2024-01-19 08:00:00,Completed,Manager_B,Klagenfurt,Austria,DPD Austria,2024-01-22
SC1-00153,Felt Animal Sewing Kit,1,21.5,Website,2024-01-19 20:00:00,Completed,Manager_A,Salzburg,Austria,DPD Austria,2024-01-22
SC1-00154,Sensory Ball Set,1,15.0,Website,2024-01-21 08:00:00,Completed,Manager_A,Sankt Pölten,Austria,Österreichische Post,2024-01-24
SC1-00155,Finger Paint Set,1,17.5,Instagram,2024-01-24 04:00:00,New,Manager_B,Innsbruck,Austria,DPD Austria,
SC1-00156,Felt Animal Sewing Kit,1,17.5,Website,2024-01-24 17:00:00,Completed,Manager_B,Graz,Austria,Österreichische Post,2024-01-25
SC1-00157,Wooden Train Track Set,1,63.0,Website,2024-01-24 21:00:00,Completed,Manager_A,Feldkirch,Austria,DPD Austria,2024-01-30
SC1-00158,Sensory Ball Set,1,21.5,Website,2024-01-24 23:00:00,Completed,Manager_B,Salzburg,Austria,DPD Austria,2024-01-30
SC1-00159,Sensory Ball Set,2,32.0,Website,2024-01-26 00:00:00,Completed,Manager_A,Linz,Austria,DPD Austria,2024-01-27
SC1-00160,Wooden Train Track Set,1,62.5,Website,2024-01-27 22:00:00,New,Manager_B,Vienna,Austria,Österreichische Post,
SC1-00161,Magnetic Drawing Board,1,21.5,Website,2024-01-29 23:00:00,Completed,Manager_B,Vienna,Austria,Österreichische Post,2024-01-31
SC1-00162,Finger Paint Set,1,16.0,Website,2024-01-30 09:00:00,Completed,Manager_A,Feldkirch,Austria,DPD Austria,2024-02-02
SC1-00163,Balance Bike 12-inch,1,114.5,Website,2024-01-30 13:00:00,Completed,Manager_B,Dornbirn,Austria,DPD Austria,2024-02-02
SC1-00164,Felt Animal Sewing Kit,1,20.0,Website,2024-02-03 21:00:00,Completed,Manager_B,Innsbruck,Austria,Österreichische Post,2024-02-08
SC1-00165,Balance Bike 12-inch,1,121.5,Website,2024-02-04 16:00:00,Completed,Manager_B,Linz,Austria,Österreichische Post,2024-02-05
SC1-00166,Balance Bike 12-inch,1,109.0,Website,2024-02-06 03:00:00,Completed,Manager_A,Dornbirn,Austria,Österreichische Post,2024-02-11
SC1-00167,Balance Bike 12-inch,1,119.5,Instagram,2024-02-07 04:00:00,Completed,Manager_A,Sankt Pölten,Austria,DPD Austria,2024-02-10
SC1-00168,Wooden Block Set 40pcs,1,33.5,Website,2024-02-10 03:00:00,Completed,Manager_B,Dornbirn,Austria,Österreichische Post,2024-02-12
SC1-00169,Wooden Train Track Set,1,53.0,Website,2024-02-10 19:00:00,New,Manager_A,Salzburg,Austria,DPD Austria,
SC1-00170,Magnetic Drawing Board,1,24.0,Website,2024-02-13 17:00:00,Completed,Manager_B,Dornbirn,Austria,DPD Austria,2024-02-16
SC1-00171,Balance Bike 12-inch,1,134.5,Website,2024-02-19 19:00:00,New,Manager_B,Graz,Austria,DPD Austria,
SC1-00172,Wooden Train Track Set,1,68.0,Website,2024-02-28 12:00:00,Completed,Manager_B,Feldkirch,Austria,DPD Austria,2024-02-29
SC1-00173,Wooden Block Set 40pcs,1,30.0,Instagram,2024-02-29 18:00:00,Completed,Manager_A,Vienna,Austria,DPD Austria,2024-03-06
SC1-00174,Wooden Block Set 40pcs,1,37.0,Website,2024-03-02 09:00:00,New,Manager_A,Wels,Austria,Österreichische Post,
SC1-00175,Waldorf Rainbow Stacker,1,36.0,Website,2024-03-04 09:00:00,Completed,Manager_B,Vienna,Austria,Österreichische Post,2024-03-06
SC1-00176,Montessori Puzzle 6-shape,1,20.0,Instagram,2024-03-06 07:00:00,Completed,Manager_A,Sankt Pölten,Austria,DPD Austria,2024-03-07
SC1-00177,Magnetic Drawing Board,1,26.0,Website,2024-03-09 21:00:00,Completed,Manager_B,Vienna,Austria,DPD Austria,2024-03-10
SC1-00178,Finger Paint Set,1,17.5,Website,2024-03-10 00:00:00,Completed,Manager_B,Linz,Austria,DPD Austria,2024-03-16
SC1-00179,Beeswax Modelling Kit,2,29.0,Instagram,2024-03-13 12:00:00,Completed,Manager_B,Dornbirn,Austria,Österreichische Post,2024-03-15
SC1-00180,Wooden Block Set 40pcs,1,32.0,Instagram,2024-03-13 21:00:00,Completed,Manager_B,Feldkirch,Austria,Österreichische Post,2024-03-17
SC1-00181,Felt Animal Sewing Kit,1,17.0,Website,2024-03-15 07:00:00,Awaiting Review,Manager_B,Vienna,Austria,DPD Austria,
SC1-00182,Wooden Kitchen Playset,3,187.5,Website,2024-03-20 16:00:00,Completed,Manager_A,Feldkirch,Austria,DPD Austria,2024-03-25
SC1-00183,Wooden Block Set 40pcs,1,35.5,Website,2024-03-25 09:00:00,Completed,Manager_B,Dornbirn,Austria,DPD Austria,2024-03-26
SC1-00184,Beeswax Modelling Kit,1,17.0,Website,2024-03-27 06:00:00,Completed,Manager_B,Vienna,Austria,Österreichische Post,2024-03-28
