order_id,product_name,quantity,price_pln,channel,order_date,status,manager,city,country,delivery_service,delivery_date
SC2-00058,Pre-Workout Energy Powder 300g,2,163.0,Website,2023-06-26 22:00:00,Completed,Manager_B,Lublin,Poland,InPost Paczkomat,2023-06-29
SC2-00059,Pre-Workout Energy Powder 300g,1,60.5,Website,2023-06-29 06:00:00,Completed,Manager_B,Warsaw,Poland,InPost Paczkomat,2023-07-03
SC2-00060,Gym Bag Medium,1,66.0,Website,2023-06-30 17:00:00,Completed,Manager_C,Warsaw,Poland,InPost Paczkomat,2023-07-02
SC2-00061,BCAA 2:1:1 Powder 400g,1,72.5,Instagram,2023-07-11 05:00:00,Completed,Manager_B,Katowice,Poland,InPost Paczkomat,2023-07-14
SC2-00062,Resistance Band Set 5pcs,2,96.0,Website,2023-07-11 12:00:00,Completed,Manager_A,Krakow,Poland,InPost Paczkomat,2023-07-12
SC2-00063,Magnesium Complex 60 caps,1,34.0,Website,2023-07-18 05:00:00,Completed,Manager_B,Katowice,Poland,DPD Poland,2023-07-23
SC2-00064,Vitamin D3+K2 60 caps,3,88.5,Website,2023-07-22 14:00:00,Completed,Manager_C,Szczecin,Poland,InPost Paczkomat,2023-07-26
SC2-00065,Omega-3 Fish Oil 90 capsules,2,67.0,Website,2023-07-24 15:00:00,Completed,Manager_A,Lodz,Poland,Poczta Polska,2023-07-27
SC2-00066,Pre-Workout Energy Powder 300g,1,62.0,Facebook Shop,2023-07-25 14:00:00,Completed,Manager_B,Gdansk,Poland,InPost Paczkomat,2023-07-26
SC2-00067,Vitamin D3+K2 60 caps,1,31.0,Website,2023-07-27 08:00:00,Cancelled,Manager_B,Bydgoszcz,Poland,Poczta Polska,
SC2-00068,Whey Protein Concentrate 1kg Chocolate,1,97.5,Website,2023-07-28 20:00:00,Completed,Manager_A,Warsaw,Poland,InPost Paczkomat,2023-07-29
SC2-00069,Creatine Monohydrate 500g,2,91.0,Website,2023-07-30 12:00:00,Completed,Manager_A,Krakow,Poland,DPD Poland,2023-08-01
SC2-00070,Shaker Bottle 700ml,1,19.5,Instagram,2023-07-31 12:00:00,Completed,Manager_C,Bydgoszcz,Poland,InPost Paczkomat,2023-08-06
SC2-00071,Shaker Bottle 700ml,1,17.0,Website,2023-08-03 05:00:00,Completed,Manager_C,Wroclaw,Poland,DPD Poland,2023-08-09
SC2-00072,Whey Protein Concentrate 1kg Chocolate,1,94.0,Instagram,2023-08-03 14:00:00,Completed,Manager_B,Szczecin,Poland,InPost Paczkomat,2023-08-09
SC2-00073,Vitamin D3+K2 60 caps,1,29.5,Website,2023-08-04 03:00:00,Completed,Manager_A,Bydgoszcz,Poland,Poczta Polska,2023-08-09
SC2-00074,Creatine Monohydrate 500g,1,67.5,Instagram,2023-08-04 05:00:00,Completed,Manager_B,Wroclaw,Poland,Poczta Polska,2023-08-10
SC2-00075,Creatine Monohydrate 500g,3,196.5,Website,2023-08-04 16:00:00,Completed,Manager_C,Lodz,Poland,InPost Paczkomat,2023-08-07
SC2-00076,Collagen Peptides 300g,2,134.0,Instagram,2023-08-05 11:00:00,Completed,Manager_C,Katowice,Poland,DPD Poland,2023-08-10
SC2-00077,Creatine Monohydrate 500g,3,168.0,Website,2023-08-06 14:00:00,Completed,Manager_B,Krakow,Poland,DPD Poland,2023-08-09
SC2-00078,Creatine Monohydrate 500g,1,61.5,Facebook Shop,2023-08-10 00:00:00,Completed,Manager_B,Bydgoszcz,Poland,InPost Paczkomat,2023-08-15
SC2-00079,Whey Protein Concentrate 1kg Vanilla,2,205.0,Website,2023-08-11 14:00:00,Completed,Manager_A,Poznan,Poland,InPost Paczkomat,2023-08-12
SC2-00080,Creatine Monohydrate 500g,2,127.0,Instagram,2023-08-12 13:00:00,Completed,Manager_C,Lodz,Poland,InPost Paczkomat,2023-08-15
SC2-00081,Magnesium Complex 60 caps,3,82.5,Website,2023-08-14 07:00:00,Completed,Manager_A,Gdansk,Poland,InPost Paczkomat,2023-08-18
SC2-00082,Gym Bag Medium,1,56.5,Website,2023-08-15 00:00:00,Completed,Manager_A,Poznan,Poland,InPost Paczkomat,2023-08-17
SC2-00083,Shaker Bottle 700ml,1,18.5,Facebook Shop,2023-08-15 21:00:00,Completed,Manager_C,Lodz,Poland,InPost Paczkomat,2023-08-21
SC2-00084,Creatine Monohydrate 500g,1,67.0,Website,2023-08-16 04:00:00,Completed,Manager_A,Krakow,Poland,InPost Paczkomat,2023-08-19
SC2-00085,BCAA 2:1:1 Powder 400g,1,58.5,Website,2023-08-16 07:00:00,Completed,Manager_C,Krakow,Poland,InPost Paczkomat,2023-08-19
SC2-00086,Omega-3 Fish Oil 90 capsules,2,60.0,Website,2023-08-17 01:00:00,New,Manager_C,Lodz,Poland,InPost Paczkomat,
SC2-00087,Shaker Bottle 700ml,1,17.5,Website,2023-08-17 06:00:00,Completed,Manager_B,Bydgoszcz,Poland,DPD Poland,2023-08-20
SC2-00088,Whey Protein Concentrate 1kg Chocolate,1,115.5,Website,2023-08-19 09:00:00,Awaiting Payment,Manager_C,Lublin,Poland,DPD Poland,
SC2-00089,Creatine Monohydrate 500g,1,46.0,Website,2023-08-19 14:00:00,Completed,Manager_B,Lodz,Poland,InPost Paczkomat,2023-08-22
SC2-00090,Shaker Bottle 700ml,2,36.0,Website,2023-08-19 20:00:00,Completed,Manager_A,Lodz,Poland,Poczta Polska,2023-08-20
SC2-00091,Creatine Monohydrate 500g,2,130.0,Facebook Shop,2023-08-20 05:00:00,Completed,Manager_A,Lublin,Poland,InPost Paczkomat,2023-08-23
SC2-00092,Magnesium Complex 60 caps,1,25.0,Instagram,2023-08-20 09:00:00,Completed,Manager_C,Lublin,Poland,InPost Paczkomat,2023-08-25
SC2-00093,Resistance Band Set 5pcs,1,56.5,Website,2023-08-20 17:00:00,Completed,Manager_B,Gdansk,Poland,InPost Paczkomat,2023-08-26
SC2-00094,Creatine Monohydrate 500g,1,48.5,Instagram,2023-08-21 09:00:00,Completed,Manager_B,Gdansk,Poland,InPost Paczkomat,2023-08-27
SC2-00095,Whey Protein Concentrate 1kg Vanilla,1,114.0,Instagram,2023-08-22 04:00:00,New,Manager_A,Szczecin,Poland,InPost Paczkomat,
SC2-00096,Magnesium Complex 60 caps,1,30.5,Facebook Shop,2023-08-23 04:00:00,Cancelled,Manager_A,Poznan,Poland,InPost Paczkomat,
SC2-00097,Whey Protein Concentrate 1kg Chocolate,1,103.0,Website,2023-08-23 13:00:00,Cancelled,Manager_C,Szczecin,Poland,InPost Paczkomat,
SC2-00098,Whey Protein Concentrate 1kg Vanilla,1,99.5,Instagram,2023-08-23 15:00:00,Awaiting Payment,Manager_C,Bydgoszcz,Poland,Poczta Polska,
SC2-00099,Whey Protein Concentrate 1kg Chocolate,1,100.0,Website,2023-08-25 16:00:00,Cancelled,Manager_C,Gdansk,Poland,Poczta Polska,
SC2-00100,Gym Bag Medium,1,49.5,Instagram,2023-08-25 19:00:00,Completed,Manager_C,Warsaw,Poland,InPost Paczkomat,2023-08-26
SC2-00101,Magnesium Complex 60 caps,3,90.0,Website,2023-08-25 22:00:00,Completed,Manager_B,Poznan,Poland,InPost Paczkomat,2023-08-26
SC2-00102,Whey Protein Concentrate 1kg Chocolate,1,117.5,Website,2023-08-27 18:00:00,Completed,Manager_B,Bydgoszcz,Poland,InPost Paczkomat,2023-08-28
SC2-00103,Whey Protein Concentrate 1kg Vanilla,1,90.5,Website,2023-08-28 00:00:00,Completed,Manager_C,Gdansk,Poland,InPost Paczkomat,2023-09-03
SC2-00104,Whey Protein Concentrate 1kg Vanilla,2,256.0,Instagram,2023-08-29 08:00:00,Completed,Manager_C,Wroclaw,Poland,InPost Paczkomat,2023-08-30
SC2-00105,Collagen Peptides 300g,3,195.0,Website,2023-08-29 14:00:00,Completed,Manager_C,Lublin,Poland,InPost Paczkomat,2023-09-02
SC2-00106,Collagen Peptides 300g,2,145.0,Instagram,2023-08-29 23:00:00,Completed,Manager_A,Poznan,Poland,InPost Paczkomat,2023-08-30
SC2-00107,Vitamin D3+K2 60 caps,1,22.5,Facebook Shop,2023-09-01 05:00:00,Completed,Manager_B,Krakow,Poland,InPost Paczkomat,2023-09-03
SC2-00108,Vitamin D3+K2 60 caps,1,23.0,Instagram,2023-09-01 08:00:00,Completed,Manager_A,Gdansk,Poland,DPD Poland,2023-09-03
SC2-00109,Creatine Monohydrate 500g,2,91.0,Website,2023-09-02 04:00:00,Completed,Manager_C,Wroclaw,Poland,InPost Paczkomat,2023-09-04
SC2-00110,Shaker Bottle 700ml,1,18.0,Website,2023-09-03 03:00:00,Completed,Manager_B,Krakow,Poland,InPost Paczkomat,2023-09-08
SC2-00111,Collagen Peptides 300g,1,62.0,Facebook Shop,2023-09-03 04:00:00,Completed,Manager_B,Krakow,Poland,InPost Paczkomat,2023-09-09
SC2-00112,Magnesium Complex 60 caps,3,97.5,Website,2023-09-05 13:00:00,Completed,Manager_C,Krakow,Poland,InPost Paczkomat,2023-09-06
SC2-00113,Magnesium Complex 60 caps,1,25.0,Instagram,2023-09-06 07:00:00,Completed,Manager_B,Szczecin,Poland,InPost Paczkomat,2023-09-11
SC2-00114,Resistance Band Set 5pcs,1,56.5,Website,2023-09-06 15:00:00,New,Manager_B,Bydgoszcz,Poland,InPost Paczkomat,
SC2-00115,Vitamin D3+K2 60 caps,1,23.5,Instagram,2023-09-06 18:00:00,Completed,Manager_C,Lodz,Poland,InPost Paczkomat,2023-09-08
SC2-00116,Vitamin D3+K2 60 caps,2,41.0,Website,2023-09-06 21:00:00,Awaiting Payment,Manager_A,Katowice,Poland,InPost Paczkomat,
SC2-00117,Shaker Bottle 700ml,2,41.0,Website,2023-09-07 08:00:00,Completed,Manager_A,Lublin,Poland,InPost Paczkomat,2023-09-12
SC2-00118,Collagen Peptides 300g,1,60.0,Website,2023-09-08 02:00:00,Completed,Manager_B,Szczecin,Poland,InPost Paczkomat,2023-09-10
SC2-00119,BCAA 2:1:1 Powder 400g,1,74.0,Website,2023-09-08 10:00:00,Completed,Manager_B,Szczecin,Poland,DPD Poland,2023-09-14
SC2-00120,BCAA 2:1:1 Powder 400g,1,58.0,Website,2023-09-09 05:00:00,Completed,Manager_C,Poznan,Poland,InPost Paczkomat,2023-09-12
SC2-00121,BCAA 2:1:1 Powder 400g,1,62.5,Website,2023-09-09 11:00:00,Completed,Manager_B,Lublin,Poland,InPost Paczkomat,2023-09-12
SC2-00122,Gym Bag Medium,1,49.5,Website,2023-09-09 19:00:00,Completed,Manager_C,Lodz,Poland,InPost Paczkomat,2023-09-15
SC2-00123,Collagen Peptides 300g,1,54.5,Facebook Shop,2023-09-10 03:00:00,Completed,Manager_B,Bydgoszcz,Poland,DPD Poland,2023-09-14
SC2-00124,Whey Protein Concentrate 1kg Vanilla,3,351.0,Website,2023-09-10 22:00:00,Completed,Manager_B,Gdansk,Poland,DPD Poland,2023-09-16
SC2-00125,Pre-Workout Energy Powder 300g,1,73.5,Instagram,2023-09-11 10:00:00,Completed,Manager_C,Krakow,Poland,DPD Poland,2023-09-16
SC2-00126,Omega-3 Fish Oil 90 capsules,1,37.5,Website,2023-09-11 15:00:00,Awaiting Payment,Manager_A,Wroclaw,Poland,InPost Paczkomat,
SC2-00127,Gym Bag Medium,2,123.0,Instagram,2023-09-13 07:00:00,Completed,Manager_A,Warsaw,Poland,InPost Paczkomat,2023-09-19
SC2-00128,Omega-3 Fish Oil 90 capsules,1,41.5,Website,2023-09-13 15:00:00,Completed,Manager_C,Szczecin,Poland,DPD Poland,2023-09-18
SC2-00129,Whey Protein Concentrate 1kg Vanilla,1,92.5,Website,2023-09-14 10:00:00,Completed,Manager_C,Warsaw,Poland,InPost Paczkomat,2023-09-16
SC2-00130,Gym Bag Medium,1,52.0,Instagram,2023-09-14 21:00:00,Completed,Manager_A,Katowice,Poland,DPD Poland,2023-09-19
SC2-00131,Whey Protein Concentrate 1kg Chocolate,2,199.0,Website,2023-09-15 14:00:00,Completed,Manager_A,Katowice,Poland,Poczta Polska,2023-09-17
SC2-00132,Gym Bag Medium,1,56.0,Website,2023-09-15 22:00:00,Completed,Manager_B,Lodz,Poland,InPost Paczkomat,2023-09-21
SC2-00133,Creatine Monohydrate 500g,1,52.0,Website,2023-09-16 12:00:00,Completed,Manager_A,Poznan,Poland,InPost Paczkomat,2023-09-19
SC2-00134,Vitamin D3+K2 60 caps,2,59.0,Facebook Shop,2023-09-16 23:00:00,Completed,Manager_A,Wroclaw,Poland,InPost Paczkomat,2023-09-21
SC2-00135,BCAA 2:1:1 Powder 400g,3,165.0,Website,2023-09-18 14:00:00,Completed,Manager_C,Krakow,Poland,InPost Paczkomat,2023-09-22
SC2-00136,Resistance Band Set 5pcs,1,51.5,Website,2023-09-18 23:00:00,Completed,Manager_B,Krakow,Poland,DPD Poland,2023-09-23
SC2-00137,Gym Bag Medium,1,72.5,Instagram,2023-09-23 11:00:00,Completed,Manager_B,Wroclaw,Poland,InPost Paczkomat,2023-09-25
SC2-00138,Vitamin D3+K2 60 caps,3,67.5,Facebook Shop,2023-09-23 13:00:00,Completed,Manager_A,Lodz,Poland,DPD Poland,2023-09-29
SC2-00139,Whey Protein Concentrate 1kg Chocolate,1,113.5,Website,2023-09-23 17:00:00,Completed,Manager_C,Wroclaw,Poland,DPD Poland,2023-09-24
SC2-00140,Shaker Bottle 700ml,1,15.0,Facebook Shop,2023-09-23 20:00:00,Completed,Manager_B,Poznan,Poland,DPD Poland,2023-09-27
SC2-00141,Gym Bag Medium,3,172.5,Instagram,2023-09-23 23:00:00,Completed,Manager_B,Krakow,Poland,DPD Poland,2023-09-26
SC2-00142,Magnesium Complex 60 caps,1,33.5,Instagram,2023-09-24 03:00:00,Completed,Manager_C,Warsaw,Poland,DPD Poland,2023-09-29
SC2-00143,Omega-3 Fish Oil 90 capsules,1,30.5,Instagram,2023-09-24 14:00:00,Completed,Manager_C,Bydgoszcz,Poland,InPost Paczkomat,2023-09-25
SC2-00144,Whey Protein Concentrate 1kg Vanilla,1,114.0,Instagram,2023-09-25 17:00:00,Completed,Manager_A,Bydgoszcz,Poland,DPD Poland,2023-10-01
SC2-00145,Magnesium Complex 60 caps,1,33.0,Facebook Shop,2023-09-25 23:00:00,Completed,Manager_C,Katowice,Poland,InPost Paczkomat,2023-09-29
SC2-00146,Gym Bag Medium,3,198.0,Instagram,2023-09-27 02:00:00,Completed,Manager_A,Katowice,Poland,InPost Paczkomat,2023-09-28
SC2-00147,Collagen Peptides 300g,1,62.5,Facebook Shop,2023-09-27 17:00:00,Completed,Manager_C,Warsaw,Poland,DPD Poland,2023-09-30
SC2-00148,Creatine Monohydrate 500g,1,48.5,Website,2023-09-28 04:00:00,Completed,Manager_C,Warsaw,Poland,InPost Paczkomat,2023-09-30
SC2-00149,Whey Protein Concentrate 1kg Vanilla,1,95.0,Facebook Shop,2023-09-29 05:00:00,Cancelled,Manager_B,Poznan,Poland,InPost Paczkomat,
SC2-00150,BCAA 2:1:1 Powder 400g,1,68.0,Instagram,2023-09-30 04:00:00,Completed,Manager_C,Szczecin,Poland,InPost Paczkomat,2023-10-05
SC2-00151,Pre-Workout Energy Powder 300g,1,87.5,Website,2023-10-01 06:00:00,Completed,Manager_A,Bydgoszcz,Poland,InPost Paczkomat,2023-10-02
SC2-00152,Omega-3 Fish Oil 90 capsules,1,38.5,Website,2023-10-02 14:00:00,Completed,Manager_C,Krakow,Poland,DPD Poland,2023-10-05
SC2-00153,Pre-Workout Energy Powder 300g,1,76.5,Website,2023-10-04 05:00:00,Completed,Manager_B,Szczecin,Poland,InPost Paczkomat,2023-10-09
SC2-00154,Omega-3 Fish Oil 90 capsules,1,37.5,Facebook Shop,2023-10-04 14:00:00,Completed,Manager_C,Szczecin,Poland,DPD Poland,2023-10-10
SC2-00155,Whey Protein Concentrate 1kg Chocolate,2,254.0,Facebook Shop,2023-10-05 09:00:00,New,Manager_B,Warsaw,Poland,InPost Paczkomat,
SC2-00156,Collagen Peptides 300g,1,55.5,Website,2023-10-05 19:00:00,Completed,Manager_C,Poznan,Poland,DPD Poland,2023-10-10
SC2-00157,Creatine Monohydrate 500g,1,52.5,Instagram,2023-10-06 18:00:00,Cancelled,Manager_C,Lodz,Poland,InPost Paczkomat,
SC2-00158,Collagen Peptides 300g,1,57.5,Facebook Shop,2023-10-07 12:00:00,New,Manager_C,Krakow,Poland,InPost Paczkomat,
SC2-00159,Whey Protein Concentrate 1kg Vanilla,3,324.0,Website,2023-10-07 22:00:00,Completed,Manager_A,Warsaw,Poland,DPD Poland,2023-10-11
SC2-00160,BCAA 2:1:1 Powder 400g,2,130.0,Instagram,2023-10-08 01:00:00,Completed,Manager_B,Szczecin,Poland,InPost Paczkomat,2023-10-11
SC2-00161,Gym Bag Medium,1,70.5,Instagram,2023-10-09 05:00:00,Completed,Manager_C,Krakow,Poland,DPD Poland,2023-10-12
SC2-00162,Whey Protein Concentrate 1kg Vanilla,1,124.0,Website,2023-10-09 10:00:00,Completed,Manager_C,Poznan,Poland,DPD Poland,2023-10-12
SC2-00163,Whey Protein Concentrate 1kg Chocolate,1,94.5,Website,2023-10-09 18:00:00,Completed,Manager_B,Bydgoszcz,Poland,DPD Poland,2023-10-12
SC2-00164,Resistance Band Set 5pcs,1,56.0,Instagram,2023-10-10 19:00:00,Completed,Manager_A,Szczecin,Poland,InPost Paczkomat,2023-10-16
SC2-00165,Magnesium Complex 60 caps,1,32.5,Website,2023-10-11 07:00:00,Completed,Manager_A,Lublin,Poland,InPost Paczkomat,2023-10-14
SC2-00166,Gym Bag Medium,1,55.5,Website,2023-10-11 17:00:00,Completed,Manager_A,Szczecin,Poland,InPost Paczkomat,2023-10-15
SC2-00167,Magnesium Complex 60 caps,1,25.5,Instagram,2023-10-15 07:00:00,Completed,Manager_C,Gdansk,Poland,InPost Paczkomat,2023-10-16
SC2-00168,Resistance Band Set 5pcs,1,54.5,Facebook Shop,2023-10-15 15:00:00,Completed,Manager_B,Lublin,Poland,DPD Poland,2023-10-19
SC2-00169,Creatine Monohydrate 500g,3,150.0,Website,2023-10-16 17:00:00,New,Manager_A,Wroclaw,Poland,InPost Paczkomat,
SC2-00170,Pre-Workout Energy Powder 300g,3,259.5,Instagram,2023-10-17 00:00:00,Awaiting Payment,Manager_A,Katowice,Poland,InPost Paczkomat,
SC2-00171,Magnesium Complex 60 caps,1,33.0,Website,2023-10-17 15:00:00,Completed,Manager_C,Szczecin,Poland,InPost Paczkomat,2023-10-19
